sample,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50
11737.D01MB2,2693,48445,2916,42123,9452,10,85,0,16605,18,3,21,228,151,6461,0,19,2873,4858,2992,704,2323,6,132,1572,187,45,0,31,1018,1441,931,0,0,670,9,722,718,0,1514,92,7,91,0,60,388,7,630,3,173
11737.D01MB3,4809,64908,6,44090,12938,651,167,0,24769,164,2,48,806,93,10303,0,17,1762,8686,5174,1050,3733,0,1791,3423,3273,26,8,22,12,3019,1695,0,0,2646,6,1495,1,5246,2832,144,0,901,1,530,758,2,736,67,738
11737.D01MC1,4683,66953,4495,40530,10772,153,53,0,16023,14,0,14,8919,100,9572,0,9,3811,664,1874,875,1374,7,952,792,573,16,0,8,154,29,557,0,0,122,2,464,180,0,41,32,0,210,0,94,68,18,0,19,407
11737.D01MC2,4428,64985,1689,33234,7223,1111,119,0,14717,4,0,94,1709,55,6673,0,28,3173,1976,8014,572,629,0,3918,562,71,136,17,22,459,265,2468,0,0,45,36,2090,2704,2,1371,119,1,438,34,754,319,17,35,148,800
11737.D01MC3,1522,32265,74,50150,7494,285,129,0,21440,55,0,25,3795,117,10509,0,8,1095,95,0,521,428,8,344,42,0,32,6,25,335,123,0,0,5,57,124,0,698,188,428,26,9,837,0,173,123,6,0,208,0
11737.D02MA1,1007,29773,2244,42668,22852,519,117,0,19647,7,0,30,928,38,6996,0,39,7668,2507,1519,2099,1481,2,5864,2006,2369,8,0,11,7779,3009,404,0,0,503,40,363,1605,3644,829,73,4,3769,6,1115,1515,77,2857,200,946
11737.D02MA2,581,74000,730,41447,13274,0,21,0,23970,0,0,4,3910,105,5285,0,0,2964,4516,1507,1035,1585,0,2016,1216,582,11,0,0,1244,121,441,0,0,321,0,400,208,7,135,90,5,248,0,1475,773,10,731,2,766
11737.D02MA3,1569,54517,606,47815,10764,144,27,0,19067,0,0,5,4160,55,7675,0,3,2621,2056,2727,896,716,2,1353,1828,13,14,0,0,2214,232,807,0,0,42,0,656,49,1411,384,38,5,782,0,652,1077,0,1103,12,537
11737.D02MB1,2542,50321,811,43548,6430,5,46,3,22040,2,3,0,640,135,8805,0,2,4924,2012,2297,503,1406,0,1165,4360,2278,4,0,8,258,1025,717,0,0,1747,2,543,2318,0,1803,36,0,1578,0,2052,1209,25,802,11,721
11737.D02MB2,1633,60191,809,45114,4689,7,16,0,17832,4,5,9,730,296,7518,0,3,2556,6248,1767,339,4441,8,250,1688,1331,8,0,8,710,58,537,0,2,1391,0,480,1259,0,822,147,0,64,0,273,205,17,556,0,234
